,Lambda-0,Lambda-0.3,Lambda-0.8,Lambda-1
0,0.23570226,0.23570226,0.23570226,0.23570226
0.1,0.131485945,0.120978313,0.124825243,0.210717755
0.2,0.091650367,0.09019229,0.146154638,0.303127097
0.3,0.119184447,0.112221261,0.195650929,0.417089177
0.4,0.367826351,0.163364826,0.252278881,0.578063917
0.5,1.705998982,0.380083914,0.338034127,0.906920158
0.6,7.953144512,1.395481197,0.604445502,2.034847694
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
0,0.23570226,,,
0.1,0.131485945,,,
0.2,0.091650367,,,
0.3,0.119184447,,,
0.4,0.367826351,,,
0.5,1.705998982,,,
0.6,7.953144512,,,
,,,,
,,,,
0,0.23570226,,,
0.1,0.120978313,,,
0.2,0.09019229,,,
0.3,0.112221261,,,
0.4,0.163364826,,,
0.5,0.380083914,,,
0.6,1.395481197,,,
,,,,
,,,,
0,0.23570226,,,
0.1,0.124825243,,,
0.2,0.146154638,,,
0.3,0.195650929,,,
0.4,0.252278881,,,
0.5,0.338034127,,,
0.6,0.604445502,,,
,,,,
,,,,
0,0.23570226,,,
0.1,0.210717755,,,
0.2,0.303127097,,,
0.3,0.417089177,,,
0.4,0.578063917,,,
0.5,0.906920158,,,
0.6,2.034847694,,,
